"Zip","LessThan10K","MoreThan10K","MoreThan25K","MoreThan50K"
"96041","0.25","0.34","0.26","0.15"
"96048","0.26","0.24","0.31","0.19"
"96051","0.26","0.25","0.21","0.28"
"96052","0.21","0.28","0.29","0.22"
"96056","0.22","0.26","0.29","0.23"
"96057","0.21","0.27","0.32","0.2"
"96058","0.23","0.33","0.31","0.13"
"96062","0.21","0.2","0.17","0.41"
"96064","0.23","0.3","0.29","0.18"
"96065","0.26","0.25","0.27","0.22"
"96067","0.23","0.25","0.23","0.29"
"96071","0.23","0.28","0.23","0.26"
"96075","0.32","0.33","0.2","0.14"
